"[""Onannon Noir""]","[""$42.00""]"
"[""Ouille Savagnin""]","[""$35.00""]"
"[""Libiamo""]","[""$34.00""]"
"[""Moonlit Forrest""]","[""$34.00""]"
"[""Onannon Noir""]","[""$42.00""]"
"[""Ouille Savagnin""]","[""$35.00""]"
"[""Ouille Savagnin""]","[""$35.00""]"
"[""Atmospheres NV""]","[""$45.00""]"
"[""Exogyra Virgula""]","[""$74.00""]"
"[""Farr Rising""]","[""$54.00""]"
"[""Boomtown Amber""]","[""$24.00""]"
"[""Exogyra Virgula""]","[""$74.00""]"
"[""Emma""]","[""$59.00""]"
"[""Baron Jacques Blanc de Blanc""]","[""$52.00""]"
"[""Ouille Savagnin""]","[""$35.00""]"
"[""Range Life Prosecco NV""]","[""$22.00""]"
Moonlit Forrest,$34.00
